k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
2105,17.750000000000004,17.395000000000003,4.540816326530612,4.45,0.6122448979591837,0.6,13.979591836734695,13.7,0.0,0.0,0.0,47.91571200000817,46.95739776000801,1404.0,2604.9,-1.0,47.91571200000817,0.0,854.9,0.01,0,1.0
2106,18.416666666666668,18.048333333333332,4.571428571428571,4.4799999999999995,0.6122448979591837,0.6,12.653061224489797,12.4,0.0,0.0,0.0,47.91575999999168,46.95744479999184,1403.2,2604.9,-2.0,47.91575999999168,0.0,818.6,0.01,0,1.0
2107,18.000000000000004,17.64,4.581632653061225,4.49,0.6122448979591837,0.6,12.551020408163266,12.3,0.0,0.0,0.0,47.91580799998883,46.95749183998905,1402.4,2604.9,0.0,47.91580799998883,0.0,794.7,0.01,0,1.0
2108,18.333333333333332,17.966666666666665,5.1938775510204085,5.09,0.7142857142857142,0.7,13.36734693877551,13.1,0.0,0.0,0.0,47.91585599999962,46.957538879999625,1401.6000000000001,2604.9,0.0,47.91585599999962,0.0,796.5,0.01,0,1.0
2109,20.166666666666668,19.763333333333335,5.142857142857143,5.04,0.6122448979591837,0.6,13.775510204081632,13.5,0.0,0.0,0.0,47.91590399999677,46.95758591999684,1400.8000000000002,2604.9,-2.0,47.91590399999677,0.0,815.0,0.01,0,1.0
2110,20.083333333333336,19.68166666666667,5.173469387755103,5.07,0.6122448979591837,0.6,14.69387755102041,14.4,0.0,0.0,0.0,47.915952000007564,46.95763296000741,1400.0,2604.9,-2.0,47.915952000007564,0.0,893.5,0.01,0,1.0
2111,19.75,19.355,5.071428571428572,4.970000000000001,0.6122448979591837,0.6,14.89795918367347,14.6,0.0,0.0,0.0,47.91599999999107,46.95767999999126,1399.2,2604.9,-3.0,47.91599999999107,0.0,900.3,0.01,0,1.0
2112,20.083333333333336,19.68166666666667,5.153061224489796,5.05,0.6122448979591837,0.6,14.081632653061225,13.8,0.0,0.0,0.0,47.91604799998822,46.957727039988455,1398.4,2604.9,-4.0,47.91604799998822,0.0,804.7,0.01,0,1.0
2113,17.333333333333336,16.986666666666668,5.071428571428572,4.970000000000001,0.6122448979591837,0.6,12.551020408163266,12.3,0.0,0.0,0.0,47.916095999999015,46.95777407999904,1397.6000000000001,2604.9,-1.0,47.916095999999015,0.0,766.6,0.01,0,1.0
2114,18.916666666666664,18.538333333333334,6.142857142857143,6.0200000000000005,0.6122448979591837,0.6,12.857142857142856,12.6,0.0,0.0,0.0,47.916143999996166,46.95782111999624,1396.8000000000002,2604.9,0.0,47.916143999996166,0.0,780.5,0.01,0,1.0
2115,18.666666666666668,18.293333333333333,6.244897959183675,6.12,0.6122448979591837,0.6,12.551020408163266,12.3,0.0,0.0,0.0,47.91619200000696,46.957868160006825,1396.0,2604.9,0.0,47.91619200000696,0.0,791.0,0.01,0,1.0
2116,17.166666666666668,16.823333333333334,4.653061224489797,4.5600000000000005,0.6122448979591837,0.6,13.46938775510204,13.2,0.0,0.0,0.0,47.91623999999047,46.95791519999066,1395.2,2604.9,0.0,47.91623999999047,0.0,742.6,0.01,0,1.0
2117,18.583333333333336,18.21166666666667,4.704081632653061,4.61,0.7142857142857142,0.7,13.979591836734695,13.7,0.0,0.0,0.0,47.91628800000126,46.95796224000124,1394.4,2604.9,0.0,47.91628800000126,0.0,741.5,0.01,0,1.0
2118,17.583333333333336,17.23166666666667,5.357142857142858,5.25,0.6122448979591837,0.6,14.89795918367347,14.6,0.0,0.0,0.0,47.91633599999841,46.95800927999844,1393.6000000000001,2604.9,0.0,47.91633599999841,0.0,765.3,0.01,0,1.0
