k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
41,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,12.553191489361703,11.8,-59999985.72340426,0.0,0.0,0.0,60000000.0,1891.2044433222363,1864.5600000000002,0.0,0.0,16.3,-0.8,12.04,0.0
42,0.0,0.0,0.9893617021276597,0.93,0.6382978723404256,0.6,8.829787234042552,8.3,-59999989.542553194,0.0,0.0,0.0,60000000.0,1891.185531277908,1864.5600000000002,0.0,0.0,12.2,-0.5,12.04,0.0
43,0.0,0.0,0.9787234042553191,0.9199999999999999,0.6382978723404256,0.6,8.829787234042552,8.3,-59999989.55319154,0.0,0.0,0.0,60000000.0,1891.1666194224906,1864.5600000000002,0.0,0.0,12.2,-0.3,12.04,0.0
44,0.0,0.0,0.9574468085106385,0.9,0.6382978723404256,0.6,10.957446808510639,10.3,-59999987.44680851,0.0,0.0,0.0,60000000.0,1891.147707756376,1864.5600000000002,0.0,0.0,14.2,-0.3,12.04,0.0
45,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,11.170212765957446,10.5,-59999987.22340428,0.0,0.0,0.0,60000000.0,1891.128796279219,1864.5600000000002,0.0,0.0,14.2,-0.1,12.04,0.0
46,0.0,0.0,0.9361702127659576,0.8800000000000001,0.6382978723404256,0.6,12.340425531914892,11.6,-59999986.08510638,0.0,0.0,0.0,60000000.0,1891.1098849913105,1864.5600000000002,0.0,0.0,16.2,0.0,12.04,0.0
47,0.0,0.0,0.9787234042553191,0.9199999999999999,0.6382978723404256,0.6,13.936170212765957,13.1,-59999984.446808554,0.0,0.0,0.0,60000000.0,1891.0909738924065,1864.5600000000002,0.0,0.0,16.3,0.0,12.04,0.0
48,0.0,0.0,2.1170212765957444,1.9899999999999998,0.6382978723404256,0.6,15.106382978723403,14.2,-59999982.13829787,0.0,0.0,0.0,60000000.0,1891.072062982712,1864.5600000000002,0.0,0.0,19.4,-0.1,12.04,0.0
49,0.0,0.0,2.0638297872340425,1.94,0.5319148936170213,0.5,9.680851063829788,9.1,-59999987.72340431,0.0,0.0,0.0,60000000.0,1891.0531522620379,1864.5600000000002,0.0,0.0,14.3,-0.3,12.04,0.0
50,0.0,0.0,0.9255319148936167,0.8699999999999999,0.5319148936170213,0.5,11.489361702127662,10.8,-59999987.05319149,0.0,0.0,0.0,60000000.0,1891.03424173058,1864.5600000000002,0.0,0.0,15.3,-0.3,12.04,0.0
