LP,DP
960.3988637,1102.8
952.8892597,1095.4
945.3797308,1088
937.870277,1080.6
931.5256182,1073.2
931.516303,1065.8
931.5069878,1058.4
923.9976728,1051
916.4884328,1043.6
908.9792679,1036.2
901.4701781,1028.8
893.9611634,1021.4
886.4522238,1014
878.9433593,1006.6
871.4345698,999.2
863.9258555,991.8
856.4172162,984.4
848.9086521,977
841.400163,969.6
833.891749,962.2
826.38341,954.8
818.8751462,947.4
811.3669575,940
803.8588438,932.6
796.3508052,925.2
788.8428417,917.8
781.3349533,910.4
773.8271399,903
766.3194016,895.6
758.8117385,888.2
751.3041503,880.8
743.7966373,873.4
736.2891993,866
728.7818364,858.6
721.2745486,851.2
713.7673359,843.8
706.2601982,836.4
704.7782978,834
703.2468046,832.2
701.7315482,830
700.2410165,827.6
698.7173021,824.8
697.1413546,822.4
695.6504916,820.4
694.2281133,817.6
692.860827,816
691.4888387,814.4
690.0815919,812.6
689.6859405,810.4
689.6790436,808.6
689.6721469,806.2
689.6652501,804.6
689.6583535,803.2
689.6514569,801.6
689.6445604,799.4
689.6376639,797.4
689.6307676,794.8
689.6238712,793
689.616975,791.4
689.6100788,787.8
689.6031827,785.6
689.5962867,782.2
689.5893907,779.4
689.5824949,777.8
689.575599,776.2
689.5687033,774.4
689.5618076,772.6
689.554912,772
689.5480164,771.4
689.5411209,770.6
689.5342255,770
689.5273302,769.4
689.5204349,768.8
689.5135397,768.2
689.5066446,767.6
689.4997495,766.8
689.4928545,766.4
689.4859596,766
689.4790647,766
689.4721699,766
689.4652752,766
689.4583806,766
689.451486,766
689.4445915,766
689.437697,766
689.4308026,766
689.4239083,766
689.4170141,766
689.4101199,766
689.4032258,766
689.3963318,766
689.3894378,766
689.3825439,766
689.3756501,766
689.3687563,766
689.3618627,766
689.354969,766
689.3480755,766.4
689.341182,766.8
689.3342886,767.4
689.3273952,767.8
689.320502,768.2
689.3136088,768.8
689.3067156,769.2
689.2998226,769.6
689.2929296,770
689.2860366,770.6
689.2791438,771.2
689.272251,771.8
689.2653583,772.4
689.2584656,772.8
689.251573,773.2
689.2446805,773.6
689.2377881,774.2
689.2308957,774.8
689.2240034,775.4
689.2171111,776
689.210219,776.4
689.2033269,776.8
689.1964348,777.2
689.1895429,777.8
689.182651,778.4
689.1757591,779
689.1688674,779.4
691.7091424,779.8
699.2022253,780.2
706.6952333,780.6
706.6881663,781
706.6810994,781.6
706.6740326,782.2
706.6669659,782.8
706.6598992,783.2
706.6528326,783.6
706.6457661,784
706.6386996,784.6
706.6316332,785.2
706.6245669,785.8
706.6175007,786.4
706.6104345,786.8
706.6033684,787.2
706.5963023,787.6
706.5892364,788.2
706.5821705,788.8
706.5751047,789.4
706.5680389,790
706.5609732,790.4
706.5539076,790.8
706.5468421,791.2
706.5397766,791.8
706.5327112,792.4
706.5256459,793
706.5185806,793.4
706.5115155,793.8
706.5044503,794.2
709.2502186,794.6
716.7431261,795.2
724.2359587,795.8
724.2287163,796.4
724.221474,797
724.2142318,797.6
724.2069897,798
724.1997476,798.4
724.1925056,799
724.1852637,799.6
724.1780218,800.2
724.1707801,800.8
724.1635384,801.2
724.1562967,801.6
724.1490552,802
724.1418137,802.6
724.1345723,803.2
724.1273309,803.8
724.1200896,804.4
724.1128484,805
724.1056073,805.4
724.0983662,805.8
724.0911253,806.4
724.0838844,807
724.0766435,807.6
724.0694027,808.2
724.0621621,808.6
724.0549214,809
724.0476809,809.6
724.0404404,810.2
727.5533667,810.8
735.0460911,811.4
742.5387407,812
742.5313153,812.4
742.52389,812.8
742.5164647,813.2
742.5090396,813.8
742.5016145,814.4
742.4941895,815
742.4867645,815.6
742.4793397,816
742.4719149,816.4
742.4644901,817
742.4570655,817.4
742.4496409,818
742.4422164,818.6
742.434792,819.2
742.4273677,819.8
742.4199434,820.2
742.4125192,820.8
742.4050951,821.4
742.397671,822
742.390247,822.6
742.3828231,823.2
742.3753993,823.6
742.3679755,824
742.3605519,824.6
742.3531283,825.2
742.3457047,825.8
742.3382813,826.4
745.6191912,827
753.111735,827.6
760.6042039,828
760.5965979,828.6
760.5889919,829.2
760.581386,829.8
760.5737802,830.4
760.5661745,831
760.5585688,831.4
760.5509632,831.8
760.5433577,832.4
760.5357523,833
760.5281469,833.6
760.5205416,834.2
760.5129364,834.8
760.5053313,835.2
760.4977262,835.6
760.4901213,836.2
760.4825164,836.8
760.4749115,837.4
760.4673068,838
760.4597021,838.6
760.4520975,839
