LP,DP
2006.532192,1981.4
2006.512126,1981.8
2006.492061,1982.2
2006.471996,1982.6
2006.451932,1983
2006.431867,1983.4
2006.411803,1983.8
2006.391739,1984.2
2006.371675,1984.6
2006.351611,1985
2006.331548,1985.4
2006.311484,1985.8
2006.291421,1986.2
2006.271358,1986.6
2006.251295,1987
2006.231233,1987.4
2006.211171,1987.8
2006.191109,1988.2
2006.171047,1988.6
2006.150985,1989
2006.130923,1989.4
2006.110862,1989.8
2006.090801,1990.2
2006.07074,1990.6
2006.050679,1991
2006.030619,1991.4
2007.367725,1991.8
2014.847652,1992.2
2022.327503,1992.6
2022.30728,1993
2022.287057,1993.4
2022.266834,1993.8
2022.246611,1994.2
2022.226389,1994.6
2022.206166,1995
2022.185944,1995.4
2022.165723,1995.8
2022.145501,1996.2
2022.125279,1996.6
2022.105058,1997
2022.084837,1997.4
2022.064616,1997.8
2022.044396,1998.2
2022.024175,1998.6
2022.003955,1999
2021.983735,1999.4
2021.963515,1999.8
2021.943295,2000.2
2021.923076,2000.6
2021.902857,2001
2021.882638,2001.4
2021.862419,2001.8
2021.8422,2002.2
2021.821982,2002.6
2021.801764,2003
2021.781546,2003.4
2023.233328,2003.8
2030.713095,2004.2
2038.192788,2004.6
2038.172406,2005
2038.152025,2005.4
2038.131643,2005.8
2038.111262,2006.2
2038.090881,2006.6
2038.0705,2007
2038.050119,2007.4
2038.029739,2007.8
2038.009358,2008.2
2037.988978,2008.6
2037.968598,2009
2037.948219,2009.4
2037.927839,2009.8
2037.90746,2010.2
2037.887081,2010.6
2037.866702,2011
2037.846323,2011.4
2037.825945,2011.8
2037.805567,2012.2
2037.785189,2012.6
2037.764811,2013
2037.744433,2013.4
2037.724056,2013.8
2037.703678,2014.2
2037.683301,2014.6
2037.662924,2015
2037.642548,2015.4
2039.159171,2015.8
2046.63878,2016.2
2054.118313,2016.6
2054.097772,2017
2054.077231,2017.4
2054.056691,2017.8
2054.03615,2018.2
2054.01561,2018.6
2053.995069,2019
2053.974529,2019.4
2053.95399,2019.8
2053.93345,2020.2
2053.912911,2020.6
2053.892372,2021
2053.871833,2021.4
2053.851294,2021.8
2053.830756,2022.2
2053.810217,2022.6
2053.789679,2023
2053.769141,2023.4
2053.748604,2023.8
2053.728066,2024.2
2053.707529,2024.6
2053.686992,2025
2053.666455,2025.4
2053.645918,2026
2053.625382,2026.6
2053.604845,2027.2
2053.584309,2027.8
2053.563774,2028.2
2055.93546,2028.6
2063.414901,2029.2
2070.894266,2029.8
2070.873558,2030.4
2070.852849,2031
2070.83214,2031.6
2070.811432,2032.2
2070.790724,2032.8
2070.770016,2033.4
2070.749308,2034
2070.728601,2034.6
2070.707893,2035.2
2070.687186,2035.8
2070.666479,2036.4
2070.645773,2037
2070.625066,2037.6
2070.60436,2038.2
2070.583654,2038.8
2070.562948,2039.4
2070.542243,2040
2070.521537,2040.6
2070.500832,2041.2
2070.480127,2041.8
2070.459422,2042.4
2070.438718,2043
2070.418542,2043.6
2070.397838,2044.2
2070.377134,2044.8
2070.35643,2045.4
2070.343676,2046
2076.552942,2046.6
2084.032176,2047.2
2091.511336,2047.8
2091.490421,2048.4
2091.469506,2049
2091.448591,2049.6
2091.427677,2050.2
2091.406762,2050.8
2091.385848,2051.4
2091.364934,2052
2091.344021,2052.6
2091.323107,2053.2
2091.302194,2053.8
2091.281281,2054.4
2091.260368,2055
2091.239456,2055.6
2091.218543,2056.2
2091.197631,2056.8
2091.176719,2057.4
2091.155807,2058
2091.146599,2058.6
2091.140476,2059.2
2091.119564,2059.8
2091.098653,2060.4
2091.077742,2061
2091.056831,2061.6
2091.035921,2062.2
2091.076298,2063
2091.148625,2063.8
2091.570793,2064.6
2099.049878,2065.4
2106.528887,2066.2
2114.007822,2067
2114.066952,2067.8
2114.149162,2068.6
2114.211892,2069.4
2114.254338,2070.2
2114.270691,2071
2114.249548,2071.6
2114.228406,2072.2
2114.207263,2072.8
2114.186121,2073.4
2114.16498,2074
2114.143838,2074.6
2114.122696,2075.2
2114.101555,2075.8
2114.080414,2076.4
2114.059273,2077
2114.072565,2077.8
2114.101477,2078.6
2114.1477,2079.4
2114.208762,2080.2
2114.230461,2081
2114.228276,2081.8
2114.24229,2082.6
2114.380898,2083.4
