k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,sSL,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL
46,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,7.340425531914894,6.9,0.0,0.0,0.0,0.0,9.608420099592575,9.031914893617023,2459.551394132091,2440.38,0.0,9.608420099592575,10.2,-0.9,5.0
47,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.703033046627432,8.180851063829786,2459.4038840299195,2440.38,0.0,8.703033046627432,10.2,-0.9,5.0
48,0.0,0.0,1.0425531914893618,0.9800000000000001,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,8.918062471706653,8.382978723404253,2459.252790251507,2440.38,0.0,8.918062471706653,10.2,-0.6,5.0
49,0.0,0.0,1.0425531914893618,0.9800000000000001,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.031235853327297,8.48936170212766,2459.0998104011614,2440.38,0.0,9.031235853327297,11.3,-0.6,5.0
50,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,8.51063829787234,8.0,0.0,0.0,0.0,0.0,10.853327297419645,10.202127659574467,2458.9164625130607,2440.38,0.0,10.853327297419645,12.3,-0.6,5.0
51,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,10.434585785423268,9.808510638297872,2458.7400938335077,2440.38,0.0,10.434585785423268,12.2,-0.8,5.0
52,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.725667722951561,8.202127659574467,2458.592207298031,2440.38,1.0,8.725667722951561,10.2,-1.1,5.0
53,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,8.96333182435491,8.425531914893616,2458.4403598420845,2440.38,0.0,8.96333182435491,10.2,-1.1,5.0
54,0.0,0.0,1.3829787234042554,1.3,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.393390674513356,8.829787234042554,2458.2813448904826,2440.38,0.0,9.393390674513356,10.2,-1.0,5.0
55,0.0,0.0,1.627659574468085,1.53,0.6382978723404256,0.6,7.659574468085108,7.2,0.0,0.0,0.0,0.0,10.559076505205974,9.925531914893618,2458.1029020007177,2440.38,0.0,10.559076505205974,12.3,-0.7,5.0
56,0.0,0.0,1.680851063829787,1.58,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,11.294703485740154,10.617021276595745,2457.91219883972,2440.38,0.0,11.294703485740154,13.2,-1.1,5.0
57,0.0,0.0,1.680851063829787,1.58,0.6382978723404256,0.6,8.085106382978722,7.599999999999999,0.0,0.0,0.0,0.0,11.068356722498866,10.404255319148934,2457.7252683154793,2440.38,-1.0,11.068356722498866,12.3,-1.4,5.0
58,0.0,0.0,1.5957446808510638,1.5,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,9.280217292892711,8.723404255319148,2457.568140301996,2440.38,0.0,9.280217292892711,12.3,-1.5,5.0
59,0.0,0.0,2.851063829787234,2.68,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,10.728836577636939,10.085106382978722,2457.3868687908953,2440.38,0.0,10.728836577636939,12.3,-1.0,5.0
60,0.0,0.0,2.8085106382978724,2.6399999999999997,0.6382978723404256,0.6,8.191489361702128,7.699999999999999,0.0,0.0,0.0,0.0,12.381167949298325,11.638297872340425,2457.1780586048712,2440.38,0.0,12.381167949298325,13.3,-0.8,5.0
61,0.0,0.0,1.6595744680851066,1.56,0.6382978723404256,0.6,9.255319148936168,8.7,0.0,0.0,0.0,0.0,12.29062924400181,11.553191489361701,2456.970757606079,2440.38,0.0,12.29062924400181,14.4,-0.6,5.0
62,0.0,0.0,1.627659574468085,1.53,0.6382978723404256,0.6,9.042553191489361,8.5,0.0,0.0,0.0,0.0,12.030330466274332,11.308510638297873,2456.7677951275505,2440.38,-1.0,12.030330466274332,13.3,-0.5,5.0
63,0.0,0.0,1.6170212765957446,1.52,0.6382978723404256,0.6,7.234042553191489,6.8,0.0,0.0,0.0,0.0,10.09506564056134,9.48936170212766,2456.597087265746,2440.38,0.0,10.09506564056134,12.3,-0.4,5.0
64,0.0,0.0,1.1382978723404253,1.0699999999999998,0.6382978723404256,0.6,6.489361702127659,6.1,0.0,0.0,0.0,0.0,8.793571751923947,8.26595744680851,2456.4480711394594,2440.38,-1.0,8.793571751923947,11.3,-0.2,5.0
