k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
6642,73,58,0,1756.724352,0,25.22,0,116,12.1092
6643,80,44,0,1756.722595,0,25.22,0,88,32.832
6644,86,29,0,1756.720839,0,25.22,0,58,53.5944
6645,87,31,0,1756.719082,0,25.22,0,62,52.5548
6646,93,31,0,1756.717325,0,25.22,0,62,58.3172
6647,57,19,0,1756.715568,0,25.22,0,38,35.7428
6648,66,32,0,1756.713812,0,25.22,0,64,31.3864
6649,68,30,0,1756.712055,0,25.22,0,60,35.3072
6650,62,26,0,1756.710298,0,25.22,0,52,33.5448
6651,56,26,0,1756.708542,0,25.22,0,52,27.7824
6652,48,23,0,1756.706785,0,25.22,0,46,23.0992
6653,19,19,0,1756.313316,0.783423574,25.22,0,38,0
6654,25,18,0,1756.31156,0,25.22,0,36,6.01
6655,13,30,0,1747.191311,18.23698459,25.22,0,60,0
6656,9,39,0,1731.385524,31.60807997,25.22,0,78,0
6657,1,6,0,1728.760094,5.247396918,25.22,0,12,0
6658,3,6,0,1727.134667,3.247396918,25.22,0,12,0
6659,0,6,0,1724.009242,6.247396918,25.22,0,12,0
6660,0,6,0,1720.883819,6.247396918,25.22,0,12,0
6661,0,6,0,1717.7584,6.247396918,25.22,0,12,0
6662,0,6,0,1714.632984,6.247396918,25.22,0,12,0
6663,0,6,0,1711.50757,6.247396918,25.22,0,12,0
