k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
59,0.0,0.0,2.7346938775510203,2.68,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,23.853336000001946,23.376269280001907,2444.0,2440.38,0.0,23.853336000001946,12.3,-1.0,5.0,0.0,0.0
60,0.0,0.0,2.693877551020408,2.6399999999999997,0.6122448979591837,0.6,7.857142857142858,7.699999999999999,0.0,0.0,0.0,23.8533599999937,23.376292799993823,2443.6,2440.38,0.0,23.8533599999937,13.3,-0.8,5.0,0.0,0.0
61,0.0,0.0,1.5918367346938778,1.56,0.6122448979591837,0.6,8.877551020408163,8.7,0.0,0.0,0.0,23.853383999985454,23.376316319985744,2443.2000000000003,2440.38,0.0,23.853383999985454,14.4,-0.6,5.0,0.0,0.0
62,0.0,0.0,1.5612244897959187,1.53,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,23.853408000004492,23.376339840004402,2442.8,2440.38,-1.0,23.853408000004492,13.3,-0.5,5.0,0.0,0.0
63,0.0,0.0,1.5510204081632653,1.52,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,23.853431999996246,23.376363359996322,2442.4,2440.38,0.0,23.853431999996246,12.3,-0.4,5.0,0.0,0.0
64,0.0,0.0,1.0918367346938773,1.0699999999999998,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.853455999988,23.37638687998824,2442.0,2440.38,-1.0,23.853455999988,11.3,-0.2,5.0,0.0,0.0
65,0.0,0.0,1.112244897959184,1.09,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.85348000000704,23.376410400006897,2441.6,2440.38,0.0,23.85348000000704,10.3,-0.3,5.0,0.0,0.0
66,0.0,0.0,1.0714285714285716,1.05,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.853503999971508,23.376433919972076,2441.2000000000003,2440.38,0.0,23.853503999971508,11.3,-0.1,5.0,0.0,0.0
67,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.853527999990547,23.376457439990737,2440.8,2440.38,0.0,23.853527999990547,13.3,-0.2,5.0,0.0,0.0
68,0.0,0.0,1.7653061224489797,1.73,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.853552000009586,23.376480960009392,2440.4,2440.38,0.0,23.853552000009586,12.3,-0.3,5.0,0.0,0.0
69,0.0,0.0,1.2959183673469388,1.27,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.85357600000134,23.376504480001312,2440.0,2440.38,0.0,23.85357600000134,10.2,-0.4,5.0,0.0,0.0
70,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,23.853599999993094,23.37652799999323,2439.6,2440.38,0.0,23.853599999993094,11.3,-0.8,5.0,0.0,0.0
71,0.0,0.0,1.0408163265306123,1.02,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.853623999984848,23.376551519985153,2439.2000000000003,2440.38,0.0,23.853623999984848,10.2,-0.8,5.0,0.0,0.0
72,0.0,0.0,1.0612244897959182,1.04,0.6122448979591837,0.6,7.551020408163265,7.4,0.0,0.0,0.0,23.853648000003886,23.376575040003807,2438.8,2440.38,0.0,23.853648000003886,12.2,-1.0,5.0,0.0,0.0
73,0.0,0.0,1.0408163265306123,1.02,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85367199999564,23.376598559995728,2438.4,2440.38,0.0,23.85367199999564,12.3,-0.6,5.0,0.0,0.0
74,0.0,0.0,1.0000000000000002,0.9800000000000001,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,23.85369600001468,23.376622080014386,2438.0,2440.38,0.0,23.85369600001468,12.3,0.2,5.0,0.0,0.0
75,0.0,0.0,1.0612244897959182,1.04,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,23.853720000006433,23.376645600006306,2437.6,2440.38,0.0,23.853720000006433,11.3,0.3,5.0,0.0,0.0
76,0.0,0.0,1.2959183673469388,1.27,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,23.853743999970902,23.376669119971485,2437.2000000000003,2440.38,0.0,23.853743999970902,10.3,0.0,5.0,0.0,0.0
77,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,23.85376799998994,23.376692639990143,2436.8,2440.38,0.0,23.85376799998994,10.3,-0.4,5.0,0.0,0.0
78,0.0,0.0,1.0510204081632653,1.03,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85379200000898,23.376716160008797,2436.4,2440.38,0.0,23.85379200000898,12.3,-0.5,5.0,0.0,0.0
79,0.0,0.0,1.0102040816326532,0.99,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.853816000000734,23.37673968000072,2436.0,2440.38,0.0,23.853816000000734,12.3,0.1,5.0,0.0,0.0
80,0.0,0.0,1.0408163265306123,1.02,0.6122448979591837,0.6,6.122448979591837,6.0,0.0,0.0,0.0,23.853839999992488,23.376763199992638,2435.6,2440.38,0.0,23.853839999992488,10.2,0.2,5.0,0.0,0.0
81,0.0,0.0,1.0204081632653061,1.0,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,23.85386399998424,23.37678671998456,2435.2000000000003,2440.38,0.0,23.85386399998424,10.2,0.4,5.0,0.0,0.0
82,0.0,0.0,0.9897959183673468,0.97,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.85388800000328,23.376810240003213,2434.8,2440.38,0.0,23.85388800000328,11.3,0.0,5.0,0.0,0.0
83,0.0,0.0,1.0714285714285716,1.05,0.6122448979591837,0.6,7.653061224489796,7.5,0.0,0.0,0.0,23.853911999995034,23.376833759995137,2434.4,2440.38,0.0,23.853911999995034,11.3,0.4,5.0,0.0,0.0
84,0.0,0.0,1.0204081632653061,1.0,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.853936000014073,23.37685728001379,2434.0,2440.38,0.0,23.853936000014073,12.3,0.6,5.0,0.0,0.0
85,0.0,0.0,2.071428571428572,2.0300000000000002,0.6122448979591837,0.6,8.571428571428573,8.4,0.0,0.0,0.0,23.853960000005827,23.37688080000571,2433.6,2440.38,0.0,23.853960000005827,12.3,0.5,5.0,0.0,0.0
86,0.0,0.0,2.1224489795918364,2.08,0.6122448979591837,0.6,6.836734693877551,6.7,0.0,0.0,0.0,23.853983999970296,23.37690431997089,2433.2000000000003,2440.38,0.0,23.853983999970296,12.3,0.6,5.0,0.0,0.0
87,0.0,0.0,0.9693877551020407,0.9499999999999998,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,23.854007999989335,23.376927839989545,2432.8,2440.38,0.0,23.854007999989335,12.4,0.5,5.0,0.0,0.0
88,0.0,0.0,1.3061224489795917,1.28,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.854032000008374,23.376951360008206,2432.4,2440.38,1.0,23.854032000008374,11.3,0.0,5.0,0.0,0.0
89,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,8.26530612244898,8.1,0.0,0.0,0.0,23.854056000000128,23.376974880000127,2432.0,2440.38,0.0,23.854056000000128,12.3,-0.1,5.0,0.0,0.0
90,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,23.854079999991882,23.376998399992043,2431.6,2440.38,1.0,23.854079999991882,12.3,-0.2,5.01,0.0,0.0
91,0.0,0.0,1.7653061224489797,1.73,0.6122448979591837,0.6,6.122448979591837,6.0,0.0,0.0,0.0,23.854103999983636,23.37702191998396,2431.2000000000003,2440.38,0.0,23.854103999983636,11.3,-0.1,5.01,0.0,0.0
92,0.0,0.0,1.7346938775510203,1.7,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,23.854128000002675,23.37704544000262,2430.8,2440.38,0.0,23.854128000002675,11.3,-0.2,5.01,0.0,0.0
