k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
46,0.0,0.0,0.9361702127659576,0.8800000000000001,0.6382978723404256,0.6,12.340425531914894,11.6,49.02127659574178,35.106382978720504,32.99999999999727,0.0,0.0,1917.95,1864.5600000000002,0.0,-32.99999999999727,16.2,0.0,12.04
47,0.0,0.0,0.9787234042553191,0.9199999999999999,0.6382978723404256,0.6,13.936170212765958,13.1,47.46808510638297,31.914893617021278,30.0,0.0,0.0,1918.45,1864.5600000000002,0.0,-30.0,16.3,0.0,12.04
48,0.0,0.0,2.117021276595745,1.9899999999999998,0.6382978723404256,0.6,15.106382978723406,14.2,49.776595744680854,31.914893617021278,30.0,0.0,0.0,1918.95,1864.5600000000002,0.0,-30.0,19.4,-0.1,12.04
49,0.0,0.0,2.0638297872340425,1.94,0.5319148936170213,0.5,9.680851063829788,9.1,47.38297872340135,35.106382978720504,32.99999999999727,0.0,0.0,1919.5,1864.5600000000002,0.0,-32.99999999999727,14.3,-0.3,12.04
50,0.0,0.0,0.9255319148936169,0.8699999999999999,0.5319148936170213,0.5,11.489361702127662,10.8,48.05319148937331,35.10638297873501,33.000000000010914,0.0,0.0,1920.0500000000002,1864.5600000000002,0.0,-33.000000000010914,15.3,-0.3,12.04
51,0.0,0.0,0.9680851063829786,0.9099999999999999,0.5319148936170213,0.5,11.489361702127662,10.8,48.095744680848156,35.106382978720504,32.99999999999727,0.0,0.0,1920.6000000000001,1864.5600000000002,0.0,-32.99999999999727,15.3,-0.3,12.04
52,0.0,0.0,0.9255319148936169,0.8699999999999999,0.5319148936170213,0.5,11.063829787234043,10.4,47.627659574465184,35.106382978720504,32.99999999999727,0.0,0.0,1921.15,1864.5600000000002,0.0,-32.99999999999727,13.2,-0.4,12.04
53,0.0,0.0,1.0531914893617023,0.99,0.5319148936170213,0.5,10.95744680851064,10.3,47.648936170209865,35.106382978720504,32.99999999999727,0.0,0.0,1921.7,1864.5600000000002,0.0,-32.99999999999727,14.3,-0.5,12.04
54,0.0,0.0,1.1276595744680853,1.06,0.5319148936170213,0.5,11.702127659574469,11.0,48.46808510638007,35.106382978720504,32.99999999999727,0.0,0.0,1922.25,1864.5600000000002,0.0,-32.99999999999727,15.199999999999998,-0.5,12.04
55,0.0,0.0,1.042553191489362,0.9800000000000001,0.5319148936170213,0.5,12.446808510638297,11.7,49.1276595744797,35.10638297873501,33.000000000010914,0.0,0.0,1922.8000000000002,1864.5600000000002,0.0,-33.000000000010914,16.3,-0.3,12.04
56,0.0,0.0,1.0638297872340425,1.0,0.5319148936170213,0.5,10.638297872340425,10.0,47.34042553191199,35.106382978720504,32.99999999999727,0.0,0.0,1923.3500000000001,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.4,12.04
57,0.0,0.0,0.9893617021276597,0.93,0.5319148936170213,0.5,10.638297872340425,10.0,47.26595744680561,35.106382978720504,32.99999999999727,0.0,0.0,1923.9,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.6,12.04
58,0.0,0.0,0.9893617021276597,0.93,0.5319148936170213,0.5,10.851063829787233,10.2,47.47872340425241,35.106382978720504,32.99999999999727,0.0,0.0,1924.45,1864.5600000000002,0.0,-32.99999999999727,13.2,-0.7,12.04
59,0.0,0.0,1.0000000000000002,0.9400000000000002,0.5319148936170213,0.5,9.361702127659575,8.8,49.191489361710836,38.29787234043424,36.000000000008185,0.0,0.0,1925.0500000000002,1864.5600000000002,0.0,-36.000000000008185,13.2,-0.6,12.04
60,0.0,0.0,1.5106382978723405,1.42,0.5319148936170213,0.5,10.74468085106383,10.1,47.8936170212737,35.106382978720504,32.99999999999727,0.0,0.0,1925.6000000000001,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.8,10.76
61,0.0,0.0,1.5851063829787233,1.49,0.5319148936170213,0.5,12.553191489361703,11.8,49.77659574467795,35.106382978720504,32.99999999999727,0.0,0.0,1926.15,1864.5600000000002,0.0,-32.99999999999727,18.3,-1.0,10.76
62,0.0,0.0,1.7765957446808511,1.67,0.5319148936170213,0.5,16.914893617021278,15.9,47.946808510641205,28.723404255322055,27.00000000000273,0.0,0.0,1926.6000000000001,1864.5600000000002,0.0,-27.00000000000273,20.4,-1.0,10.76
63,0.0,0.0,1.521276595744681,1.4300000000000002,0.5319148936170213,0.5,11.382978723404255,10.7,48.542553191486455,35.106382978720504,32.99999999999727,0.0,0.0,1927.15,1864.5600000000002,0.0,-32.99999999999727,15.199999999999998,-1.0,10.76
64,0.0,0.0,1.5319148936170215,1.44,0.5319148936170213,0.5,11.489361702127662,10.8,48.6595744680822,35.106382978720504,32.99999999999727,0.0,0.0,1927.7,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.9,10.76
65,0.0,0.0,1.553191489361702,1.46,0.5319148936170213,0.5,9.787234042553191,9.2,46.97872340425241,35.106382978720504,32.99999999999727,0.0,0.0,1928.25,1864.5600000000002,0.0,-32.99999999999727,14.2,-0.9,10.76
66,0.0,0.0,1.5,1.41,0.6382978723404256,0.6,10.000000000000002,9.4,47.244680851075444,35.10638297873501,33.000000000010914,0.0,0.0,1928.8000000000002,1864.5600000000002,0.0,-33.000000000010914,14.2,-0.9,10.76
