k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
94,0.0,0.0,1.0319148936170213,0.97,0.5319148936170213,0.5,11.382978723404255,10.7,48.0531914893588,35.106382978720504,32.99999999999727,0.0,0.0,1943.8500000000001,1864.5600000000002,0.0,-32.99999999999727,14.2,-1.4,11.0
95,0.0,0.0,1.042553191489362,0.9800000000000001,0.5319148936170213,0.5,11.276595744680852,10.6,47.95744680850774,35.106382978720504,32.99999999999727,0.0,0.0,1944.4,1864.5600000000002,0.0,-32.99999999999727,14.3,-1.3,11.0
96,0.0,0.0,1.0638297872340425,1.0,0.5319148936170213,0.5,12.021276595744684,11.3,48.72340425531625,35.106382978720504,32.99999999999727,0.0,0.0,1944.95,1864.5600000000002,0.0,-32.99999999999727,15.399999999999999,-1.3,11.0
97,0.0,0.0,1.2127659574468088,1.1400000000000001,0.6382978723404256,0.6,13.51063829787234,12.7,47.27659574468085,31.914893617021278,30.0,0.0,0.0,1945.45,1864.5600000000002,0.0,-30.0,17.4,-1.2,11.0
98,0.0,0.0,1.1170212765957448,1.05,0.6382978723404256,0.6,12.021276595744684,11.3,48.88297872340136,35.106382978720504,32.99999999999727,0.0,0.0,1946.0,1864.5600000000002,0.0,-32.99999999999727,15.3,-1.1,11.0
99,0.0,0.0,1.6595744680851068,1.56,0.6382978723404256,0.6,11.914893617021276,11.2,49.319148936181826,35.10638297873501,33.000000000010914,0.0,0.0,1946.5500000000002,1864.5600000000002,0.0,-33.000000000010914,16.4,-1.1,11.0
100,0.0,0.0,1.7021276595744683,1.6,0.6382978723404256,0.6,11.914893617021276,11.2,49.36170212765667,35.106382978720504,32.99999999999727,0.0,0.0,1947.1000000000001,1837.14,0.0,-32.99999999999727,16.3,-1.2,11.0
101,0.0,0.0,1.5106382978723405,1.42,0.6382978723404256,0.6,9.680851063829788,9.1,46.93617021276306,35.106382978720504,32.99999999999727,0.0,0.0,1947.65,1837.14,0.0,-32.99999999999727,13.3,-1.4,11.0
102,0.0,0.0,1.5638297872340428,1.47,0.6382978723404256,0.6,10.851063829787233,10.2,48.159574468082205,35.106382978720504,32.99999999999727,0.0,0.0,1948.2,1837.14,0.0,-32.99999999999727,15.3,-1.4,11.0
103,0.0,0.0,1.5,1.41,0.6382978723404256,0.6,12.553191489361703,11.8,49.79787234042263,35.106382978720504,32.99999999999727,0.0,0.0,1948.75,1837.14,0.0,-32.99999999999727,17.3,-1.3,11.0
104,0.0,0.0,1.4361702127659577,1.35,0.6382978723404256,0.6,16.382978723404257,15.399999999999999,47.18085106383269,28.723404255322055,27.00000000000273,0.0,0.0,1949.2,1837.14,0.0,-27.00000000000273,20.4,-1.0,11.0
105,0.0,0.0,1.521276595744681,1.4300000000000002,0.6382978723404256,0.6,11.063829787234043,10.4,48.32978723403965,35.106382978720504,32.99999999999727,0.0,0.0,1949.75,1837.14,0.0,-32.99999999999727,15.399999999999999,-1.2,11.0
106,0.0,0.0,1.574468085106383,1.48,0.6382978723404256,0.6,11.063829787234043,10.4,48.38297872341587,35.10638297873501,33.000000000010914,0.0,0.0,1950.3000000000002,1837.14,0.0,-33.000000000010914,15.3,-1.0,11.0
107,0.0,0.0,1.5425531914893618,1.45,0.6382978723404256,0.6,9.361702127659575,8.8,49.8404255319091,38.29787234041973,35.99999999999454,0.0,0.0,1950.9,1837.14,0.0,-35.99999999999454,13.3,-1.1,11.0
