k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,s,v,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation
47,0.0,0.0,2.1020408163265305,2.06,0.6122448979591837,0.6,7.551020408163265,7.4,0.0,0.0,0.0,0.0,10.474802165764265,10.26530612244898,1498.892180990205,1508.1000000000001,0.0,10.474802165764265,12.4,-0.8
48,0.0,0.0,1.8367346938775513,1.8,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,0.0,10.412328196584754,10.20408163265306,1498.7171432947475,1508.1000000000001,0.0,10.412328196584754,12.3,-0.9
49,0.0,0.0,1.5204081632653061,1.49,0.6122448979591837,0.6,8.979591836734693,8.8,0.0,0.0,0.0,0.0,11.339025406080799,11.112244897959183,1498.526660820836,1508.1000000000001,0.0,11.339025406080799,13.4,-0.9
50,0.0,0.0,1.5612244897959187,1.53,0.6122448979591837,0.6,8.979591836734693,8.8,0.0,0.0,0.0,0.0,11.380674718867137,11.153061224489795,1498.335484382194,1508.1000000000001,0.0,11.380674718867137,13.4,-1.0
51,0.0,0.0,2.6326530612244903,2.58,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,10.807996668054978,10.591836734693878,1498.1538527689086,1508.1000000000001,0.0,10.807996668054978,12.4,-1.1
52,0.0,0.0,2.5510204081632653,2.5,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,10.724698042482302,10.510204081632654,1497.973609647681,1508.1000000000001,0.0,10.724698042482302,12.3,-0.9
53,0.0,0.0,2.0408163265306123,2.0,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.30820491461891,10.102040816326532,1497.8003082588277,1508.1000000000001,0.0,10.30820491461891,12.4,-0.8
54,0.0,0.0,2.1122448979591835,2.07,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.381091211995003,10.173469387755103,1497.625792271653,1508.1000000000001,0.0,10.381091211995003,12.4,-0.8
55,0.0,0.0,2.0306122448979593,1.9899999999999998,0.6122448979591837,0.6,8.673469387755102,8.5,0.0,0.0,0.0,0.0,11.547271970012496,11.316326530612246,1497.431840113027,1508.1000000000001,1.0,11.547271970012496,13.4,-0.8
56,0.0,0.0,2.071428571428572,2.0300000000000002,0.6122448979591837,0.6,9.591836734693878,9.4,0.0,0.0,0.0,0.0,12.526030820491464,12.275510204081634,1497.2215755008453,1508.1000000000001,1.0,12.526030820491464,13.4,-1.0
57,0.0,0.0,2.071428571428572,2.0300000000000002,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,0.0,10.860058309037903,10.642857142857146,1497.0390773074523,1508.1000000000001,-1.0,10.860058309037903,13.4,-0.9
58,0.0,0.0,1.7857142857142858,1.75,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,10.04789670970429,9.846938775510203,1496.8701153232132,1508.1000000000001,-1.0,10.04789670970429,13.4,-1.0
59,0.0,0.0,1.6326530612244898,1.6,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.891711786755518,9.693877551020408,1496.7037565899855,1508.1000000000001,0.0,9.891711786755518,12.4,-1.2
60,0.0,0.0,1.7142857142857146,1.6800000000000002,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,9.975010412328198,9.775510204081632,1496.53600971269,1508.1000000000001,0.0,9.975010412328198,12.4,-1.1
61,0.0,0.0,1.704081632653061,1.67,0.6122448979591837,0.6,8.571428571428573,8.4,0.0,0.0,0.0,0.0,11.109954185755937,10.887755102040819,1496.3493472735843,1508.1000000000001,0.0,11.109954185755937,12.4,-1.1
62,0.0,0.0,1.0816326530612246,1.06,0.6122448979591837,0.6,8.979591836734693,8.8,0.0,0.0,0.0,0.0,10.891295293627655,10.673469387755102,1496.16632933601,1508.1000000000001,0.0,10.891295293627655,13.4,-1.4
63,0.0,0.0,1.2244897959183674,1.2,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.37109537692628,9.183673469387756,1496.0086482467316,1508.1000000000001,0.0,9.37109537692628,13.4,-1.4
64,0.0,0.0,1.1326530612244898,1.1099999999999999,0.6122448979591837,0.6,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.27738442315702,9.091836734693878,1495.8525291643641,1508.1000000000001,0.0,9.27738442315702,11.3,-1.2
