太陽光発電電力,系統購入電力,蓄電池MegaPower放電電力,工場全消費電力,6600/210-105V 75kVA 全体,6600/210V 300kVA 全体,6600/210V 500kVA 全体,No.1系特定負荷 商用電力,No.2系特定負荷 商用電力,No1太陽光PCS直流電力,No1太陽光PCS交流電力,No2太陽光PCS直流電力,No2太陽光PCS交流電力,日射量,直流電力の合計値,蓄電池,売買電単価,売買電価格(30分ごと),交流/直流,Unnamed: 21,Unnamed: 22,テクシード国府工場動力Tr,テクシード国府工場電灯Tr,テクシード国府工場全体,Unnamed: 26,Unnamed: 27
0.0,0,13.3,11.8,1.61,0.6,8.8,4.7,0.1,0,0,0,0,-1.2,0,67.0,11.0,7.37,0.0,,,0.0,3.0,4.0,,
0.0,0,13.3,11.9,1.54,0.6,9.0,4.7,0.1,0,0,0,0,-0.9,0,67.0,11.0,7.39,0.0,,,0.0,3.0,3.0,,
0.0,0,14.3,14.3,1.55,0.6,9.9,4.7,0.1,0,0,0,0,-0.9,0,67.0,11.0,7.47,0.0,,,0.0,3.0,4.0,,
0.0,0,17.4,15.5,0.99,0.6,13.2,4.8,0.1,0,0,0,0,-0.7,0,67.0,11.0,7.54,0.0,,,0.0,3.0,4.0,,
0.0,0,18.4,16.8,0.9199999999999999,0.6,14.5,4.7,0.1,0,0,0,0,-0.5,0,67.0,11.0,7.37,0.0,,,0.0,3.0,3.0,,
0.0,0,20.5,17.2,0.93,0.6,14.8,4.8,0.1,0,0,0,0,-0.6,0,67.0,11.0,7.37,0.0,,,0.0,4.0,4.0,,
0.0,0,13.3,11.4,0.95,0.6,9.0,4.8,0.1,0,0,0,0,-0.5,0,67.0,11.0,7.37,0.0,,,0.0,4.0,4.0,,
0.0,0,13.3,11.3,0.9,0.6,9.0,4.8,0.1,0,0,0,0,-0.4,0,67.0,10.21,7.37,0.0,,,0.0,4.0,4.0,,
0.0,0,13.3,12.6,0.93,0.6,9.0,4.8,0.1,0,0,0,0,-0.4,0,67.0,10.21,7.37,0.0,,,0.0,4.0,4.0,,
0.0,0,15.4,13.3,0.89,0.6,11.0,4.8,0.1,0,0,0,0,-0.4,0,67.0,10.21,7.06,0.0,,,0.0,3.0,4.0,,
0.0,0,17.4,15.1,0.89,0.6,12.6,5.4,0.1,0,0,0,0,-0.4,0,67.0,10.21,7.37,0.0,,,0.0,3.0,4.0,,
0.0,0,18.4,14.5,0.89,0.6,12.3,5.4,0.1,0,0,0,0,-0.3,0,67.0,10.21,7.4,0.0,,,0.0,4.0,4.0,,
0.0,0,17.4,15.2,0.8699999999999999,0.6,12.5,4.9,0.1,0,0,0,0,-0.3,0,67.0,10.21,7.52,0.0,,,0.0,3.0,4.0,,
0.0,0,14.4,11.8,0.9,0.6,9.0,4.9,0.1,0,0,0,0,-0.2,0,67.0,10.21,7.54,0.0,,,0.0,3.0,4.0,,
0.0,0,13.3,12.6,0.8800000000000001,0.6,10.4,4.8,0.1,0,0,0,0,-0.3,0,67.0,10.21,10.86,0.0,,,0.0,3.0,4.0,,
0.0,0,15.3,13.3,0.96,0.6,10.9,4.9,0.1,0,0,0,0,-0.3,0,67.0,10.21,12.66,0.0,,,0.0,3.0,3.0,,
0.0,1,15.3,13.4,0.9800000000000001,0.6,11.0,4.9,0.1,0,0,0,0,-0.3,0,67.0,10.21,16.03,0.0,,,0.0,4.0,4.0,,
0.0,0,17.4,13.8,0.95,0.6,11.5,5.5,0.1,0,0,0,0,-0.5,0,67.0,10.21,16.47,0.0,,,0.0,4.0,3.0,,
0.0,0,17.4,15.4,1.0,0.6,13.2,5.4,0.1,0,0,0,0,-0.5,0,67.0,10.21,18.02,0.0,,,0.0,2.0,2.0,,
0.0,0,17.4,16.1,0.8699999999999999,0.6,13.8,4.8,0.2,0,0,0,0,-0.4,0,67.0,10.21,19.72,0.0,,,0.0,3.0,3.0,,
0.0,1,13.3,12.6,0.89,0.6,11.1,4.8,0.2,0,0,0,0,-0.6,0,67.0,10.21,19.72,0.0,,,0.0,3.0,3.0,,
0.0,0,15.4,13.8,0.9,0.6,11.5,4.9,0.2,0,0,0,0,-0.6,0,67.0,10.21,19.72,0.0,,,0.0,2.0,3.0,,
0.0,0,15.3,13.8,0.9400000000000001,0.6,11.5,4.9,0.2,0,0,0,0,-0.8,0,67.0,10.21,18.87,0.0,,,0.0,2.0,3.0,,
0.0,0,15.3,12.4,0.9099999999999999,0.6,10.0,4.8,0.2,0,0,0,0,-0.7,0,67.0,10.21,16.87,0.0,,,0.0,2.0,3.0,,
0.0,0,15.3,13.4,0.9,0.6,11.2,4.8,0.2,0,0,0,0,-0.7,0,67.0,10.21,15.32,0.0,,,0.0,2.0,3.0,,
0.0,1,16.4,14.6,0.9099999999999999,0.6,12.1,4.9,0.2,0,0,0,0,-0.7,0,67.0,10.21,15.02,0.0,,,0.0,2.0,3.0,,
0.0,0,17.4,16.6,0.9400000000000001,0.6,14.5,4.8,0.2,0,0,0,0,-0.8,0,67.0,10.21,13.55,0.0,,,0.0,2.0,2.0,,
0.0,0,16.4,14.8,1.9600000000000002,0.6,11.3,5.4,0.2,0,0,0,0,-0.9,0,67.0,10.21,14.24,0.0,,,0.0,2.0,2.0,,
0.0,-1,17.4,15.1,2.44,0.6,11.3,5.4,0.2,0,0,0,0,-0.8,0,67.0,10.21,13.39,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,12.0,1.4,0.6,9.2,4.7,0.2,0,0,0,0,-0.9,0,67.0,10.21,13.0,0.0,,,0.0,2.0,2.0,,
0.0,0,14.3,12.2,1.54,0.6,9.3,4.7,0.2,0,0,0,0,-1.1,0,67.0,10.21,11.67,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,13.3,1.53,0.6,10.5,4.7,0.2,0,0,0,0,-1.1,0,67.0,10.21,11.77,0.0,,,0.0,2.0,2.0,,
0.0,0,17.3,16.8,1.49,0.6,14.3,4.7,0.2,0,0,0,0,-1.0,0,67.0,10.21,11.09,0.0,,,0.0,2.0,2.0,,
0.0,0,20.5,18.6,1.51,0.6,15.6,4.8,0.2,0,0,0,0,-1.0,0,67.0,10.21,10.19,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,13.6,1.4,0.6,10.6,4.8,0.2,0,0,0,0,-0.9,0,67.0,10.21,8.49,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,11.9,1.42,0.6,9.0,4.8,0.2,0,0,0,0,-0.9,0,67.0,10.21,8.12,0.0,,,0.0,2.0,2.0,,
0.0,0,14.3,12.1,1.4,0.6,9.2,4.8,0.2,0,0,0,0,-0.9,0,67.0,10.21,8.12,0.0,,,0.0,2.0,2.0,,
0.0,0,14.3,12.2,1.3900000000000001,0.6,9.4,4.9,0.2,0,0,0,0,-1.0,0,67.0,10.21,8.1,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,14.8,1.49,0.6,12.1,4.8,0.2,0,0,0,0,-0.9,0,67.0,10.21,8.0,0.0,,,0.0,2.0,3.0,,
